Index,X...Class,Head,Neck_Label,PER,LOC,OBJ,TEM,NUM,Root_POS
1,ABBR,What,ROOT,0,0,0,0,0,VBZ
3,ABBR,What,aux,1,1,0,0,0,VB
4,ABBR,What,aux,0,1,0,0,0,VB
5,ABBR,What,aux,0,1,0,0,0,NN
12,ABBR,What,ROOT,0,1,0,0,0,VBZ
13,ABBR,What,aux,0,0,0,0,0,NNP
14,ABBR,What,ROOT,0,1,0,0,0,VBZ
21,ABBR,What,aux,0,1,0,0,0,VB
23,ABBR,What,ROOT,0,1,0,0,0,VBZ
24,ABBR,What,aux,0,1,0,0,0,VB
27,ABBR,What,ROOT,0,1,0,0,0,VBZ
31,ABBR,What,aux,0,1,0,0,0,VB
34,ABBR,What,ROOT,0,1,0,0,0,VBZ
35,ABBR,What,aux,0,1,0,0,0,VB
40,ABBR,What,aux,0,0,0,0,0,NN
42,ABBR,What,ROOT,0,0,0,1,0,VBZ
43,ABBR,What,ROOT,0,1,0,0,0,VBZ
45,ABBR,What,aux,0,1,0,0,0,VB
49,ABBR,What,aux,0,1,0,0,0,VB
50,ABBR,What,aux,0,0,0,0,0,NN
51,ABBR,What,aux,0,0,0,0,0,VB
55,ABBR,What,ROOT,0,1,0,0,0,VBZ
58,ABBR,What,aux,0,0,0,0,0,VB
59,ABBR,What,ROOT,0,0,0,0,0,VBZ
62,ABBR,What,ROOT,0,0,0,0,0,IN
63,ABBR,What,aux,0,1,0,0,0,VB
66,ABBR,What,aux,0,1,0,0,0,VB
68,ABBR,What,ROOT,0,1,0,0,0,VBZ
72,ABBR,What,aux,0,0,0,0,0,VB
73,ABBR,What,aux,0,1,0,0,0,VB
76,ABBR,What,ROOT,0,1,0,0,0,VBZ
77,DESC,How,aux,0,1,0,0,0,VB
82,DESC,What,ROOT,0,1,0,0,0,VBZ
85,DESC,What,ROOT,1,0,0,0,0,VBZ
86,DESC,What,aux,0,0,0,0,0,VB
88,DESC,How,aux,0,0,0,0,0,VB
89,DESC,How,aux,0,0,0,0,0,VB
90,DESC,What,ROOT,0,0,0,0,0,VBZ
91,DESC,Where,aux,0,0,1,0,0,VBN
96,DESC,What,ROOT,0,0,0,0,0,VBZ
97,DESC,Why,aux,0,0,0,0,0,VB
100,DESC,How,aux,0,0,0,0,0,VB
101,DESC,How,aux,0,1,0,0,0,VB
102,DESC,What,ROOT,0,0,0,0,0,VBZ
103,DESC,What,ROOT,0,0,0,0,0,VBZ
104,DESC,What,ROOT,0,0,0,0,0,VBP
105,DESC,What,ROOT,0,0,0,0,0,VBZ
106,DESC,What,ROOT,1,0,0,0,0,VBZ
114,DESC,How,aux,0,0,0,0,0,VBP
115,DESC,What,ROOT,0,1,0,0,0,VBZ
117,DESC,What,ROOT,0,0,0,0,0,VBZ
120,DESC,How,np,0,0,0,0,0,VB
121,DESC,What,ROOT,0,0,0,0,0,VBZ
122,DESC,What,ROOT,0,0,0,0,0,VBP
123,DESC,Where,aux,1,0,0,0,0,VB
124,DESC,Why,aux,0,0,0,0,0,VBP
126,DESC,What,ROOT,0,0,0,0,0,VBZ
127,DESC,What,aux,0,0,0,0,0,VB
128,DESC,How,aux,0,0,0,0,0,VB
129,DESC,What,ROOT,0,1,0,0,0,VBZ
132,DESC,How,aux,0,0,0,0,0,VB
133,DESC,What,ROOT,1,0,0,0,0,VBZ
134,DESC,What,ROOT,0,0,0,0,0,VBZ
135,DESC,What,ROOT,0,1,0,0,0,VBZ
138,DESC,How,aux,0,0,0,0,0,VB
140,DESC,What,ROOT,1,0,0,0,0,VBD
143,DESC,What,ROOT,1,0,0,0,0,VBP
147,DESC,What,ROOT,0,0,0,0,0,VBZ
152,DESC,Why,ROOT,0,0,0,0,0,VBZ
153,DESC,How,aux,0,0,0,0,0,VB
154,DESC,How,auxpass,0,0,0,0,0,VBN
155,DESC,How,aux,0,0,0,0,0,VB
157,DESC,How,aux,0,0,0,0,0,VB
158,DESC,What,ROOT,0,0,0,0,0,VBZ
160,DESC,How,acomp,0,0,0,0,0,VBZ
164,DESC,What,ROOT,0,0,0,0,0,VBZ
165,DESC,What,aux,0,0,0,0,0,VB
170,DESC,What,ROOT,0,0,0,0,0,VBP
171,DESC,What,auxpass,1,0,0,0,0,VBN
174,DESC,What,aux,1,1,0,0,0,VBP
176,DESC,Why,np,0,0,0,0,0,VBP
178,DESC,What,ROOT,0,0,0,0,0,VBZ
180,DESC,What,aux,0,0,0,0,0,VBP
184,DESC,What,aux,0,0,0,0,0,VB
185,DESC,What,ROOT,0,0,0,0,0,VBZ
186,DESC,What,ROOT,0,0,0,0,0,VBZ
188,DESC,How,aux,0,0,0,0,0,VB
190,DESC,What,ROOT,0,0,0,0,0,VBZ
191,DESC,Where,aux,0,0,0,0,0,VB
192,DESC,How,aux,0,0,0,0,0,VB
193,DESC,What,ROOT,0,0,0,0,0,VBZ
194,DESC,What,ROOT,0,0,0,0,0,VBZ
196,DESC,Why,ROOT,0,0,0,0,0,VBP
197,DESC,What,ROOT,0,1,0,0,0,VB
200,DESC,What,ROOT,0,0,0,0,0,VBZ
201,DESC,How,aux,0,0,0,0,0,VB
203,DESC,What,ROOT,0,0,0,0,0,VBZ
205,DESC,What,ROOT,0,0,0,0,0,VBZ
207,DESC,What,ROOT,0,0,0,0,0,VBZ
209,DESC,What,ROOT,0,1,0,0,0,VBZ
210,DESC,What,aux,0,0,0,0,0,VBG
215,DESC,What,aux,0,0,0,0,0,VB
216,DESC,Why,ROOT,0,0,0,0,0,VBZ
217,DESC,What,aux,0,0,0,0,0,VB
219,DESC,What,ROOT,0,0,0,0,0,VBP
221,DESC,What,ROOT,0,1,0,0,0,VBZ
224,DESC,How,aux,0,0,0,0,1,VB
226,DESC,What,aux,1,0,0,0,0,VBP
227,DESC,What,ROOT,1,0,0,0,0,VB
230,DESC,How,aux,0,0,0,0,0,VB
232,DESC,How,aux,0,0,0,0,0,VB
233,DESC,How,aux,0,0,0,0,0,VB
